측정ID,시각,지점명,권역,위도,경도,Ta,RH,v,Tmrt,PET,Ts,볕,태양고도,SVF,TVF,BVF,앱_SVF,앱_GVI,앱_BVI,앱_유효,앱_입력_기온,앱_입력_풍속,앱_입력_습도,실측당시_앱pVPTI,엔진예측_PET,엔진예측_Tmrt,tier3_svf,tier3_gvi,tier3_bvi,ndvi30,lst30,run_A_Tmrt,run_A_PET,run_B_Tmrt,run_B_PET,run_C_Tmrt,run_C_PET,run_D_Tmrt,run_D_PET
20260823_명장제9동_01,2026-08-23 11:56:00,명장제9동,명장동,35.2162,129.0861,36.4,45.5,0.4,51.22,45.74,57.96,1,65.3,0.7989,0.0083,0.1928,0.97,0.009,0.307,유효,33.5,1.2,59,47.4,46.7,72.09,0.9348,0.0479,0.2831,0.1273982784053736,47.86686314743697,53.4,40.05,53.21,40.06,56.03,46.16,56.52,46.61
20260823_명장제10동_01,2026-08-23 11:53:00,명장제10동,명장동,35.2158,129.0861,34.7,49.7,0.4,49.4,43.8,51.25,1,65.1,0.8632,0.0093,0.1275,0.97,0.009,0.307,유효,33.5,1.2,59,47.4,45.1,70.74,0.5791,0.044,0.5021,0.2834341374484303,47.53772362499571,53.4,40.05,53.29,40.75,55.02,45.06,55.07,44.56
20260823_명장제11동_01,2026-08-23 11:50:00,명장제11동,명장동,35.2156,129.0868,36.8,44.5,0.5,62.58,51.44,53.02,1,64.9,0.7931,0.028,0.1789,0.494,0.05,0.6,유효,33.2,1.4,58,48.8,46.9,71.84,0.8673,0.0752,0.3037,0.4219531510119649,47.05623962044492,52.56,39.55,52.4,38.85,56.06,45.97,56.49,46.28
20260823_명장제12동_01,2026-08-23 11:47:00,명장제12동,명장동,35.2152,129.0874,36.7,46.7,0.0,54.37,49.76,54.71,1,64.6,0.8008,0.0255,0.1737,0.844,0.025,0.421,유효,33.2,1.4,58,33.9,47.5,73.19,0.7002,0.0557,0.45,0.4214606093674589,46.271159538928586,52.7,38.97,52.57,39.17,57.49,50.52,57.71,50.63
20260823_명장제13동_01,2026-08-23 11:43:00,명장제13동,명장동,35.2149,129.0882,36.9,44.4,0.5,55.64,47.86,52.39,1,64.3,0.7731,0.0112,0.2157,0.746,0.0,0.478,유효,33.2,1.4,58,45.7,47.1,72.08,0.7396,0.0556,0.4379,0.1327222909659195,46.320330957469466,52.9,39.19,52.56,39.1,56.42,46.44,56.72,46.52
20260823_명장제14동_01,2026-08-23 11:40:00,명장제14동,명장동,35.2145,129.0899,35.2,47.1,2.2,77.35,51.32,54.83,1,64.0,0.8633,0.0236,0.1131,0.794,0.029,0.449,무효-인근대체(64m),32.1,0.8,58,48.2,43.0,67.47,0.8276,0.0778,0.1685,0.3665960262871458,44.26187214243388,52.32,39.21,51.97,39.01,52.65,39.15,52.87,39.17
20260823_명장제15동_01,2026-08-23 11:34:00,명장제15동,명장동,35.2139,129.0899,34.9,45.7,0.0,53.24,48.06,53.63,1,63.4,0.8165,0.0969,0.0866,0.914,0.151,0.174,유효,32.1,0.8,58,47.2,44.9,70.65,0.7756,0.0769,0.1896,0.1825724918868764,44.92465810421197,51.42,38.66,52.0,39.13,55.14,48.49,54.93,48.35
20260823_명장제16동_01,2026-08-23 11:29:00,명장제16동,명장동,35.2136,129.0905,35.7,46.9,1.0,71.89,53.08,52.31,0,62.9,0.8343,0.0309,0.1348,0.83,0.038,0.327,유효,32.1,0.8,58,48.3,40.2,48.96,0.8463,0.0759,0.1988,0.1375993539958666,43.97655850878841,39.4,33.93,39.44,33.94,42.34,37.6,42.33,37.6
20260823_명장제17동_01,2026-08-23 11:22:00,명장제17동,명장동,35.2125,129.0902,35.7,46.3,0.7,61.02,48.82,55.91,0,62.1,0.8442,0.0655,0.0903,0.997,0.208,0.065,유효,32.1,0.8,58,47.4,40.2,48.81,0.919,0.1804,0.0666,0.2853992367892801,42.62262220223872,39.88,33.96,39.6,33.94,42.45,38.03,42.25,37.99
20260823_명장제18동_01,2026-08-23 11:19:00,명장제18동,명장동,35.2123,129.0897,35.0,50.4,0.0,41.91,42.0,53.48,1,61.8,0.8934,0.0743,0.0323,0.801,0.2,0.102,유효,32.1,0.8,58,48.2,45.5,70.8,0.853,0.1302,0.136,0.1695375940623809,42.91636309954413,51.13,38.78,51.57,38.83,55.27,48.86,55.69,49.07
